1,570,3,1767,10.9074%
1,577,12,1437,8.87037%
1,579,8,1301,8.03086%
1,570,1,1282,7.91358%
1,577,10,1257,7.75926%
1,591,5,1207,7.45062%
1,552,8,1059,6.53704%
1,579,9,1044,6.44444%
1,579,3,997,6.15432%
1,566,1,929,5.73457%
1,576,12,889,5.48765%
1,591,4,839,5.17901%
1,565,2,838,5.17284%
1,552,10,785,4.84568%
1,377,14,782,4.82716%
1,565,5,779,4.80864%
1,575,6,739,4.56173%
1,578,1,697,4.30247%
1,585,5,675,4.16667%
1,552,2,672,4.14815%
1,578,8,661,4.08025%
1,577,11,614,3.79012%
1,597,11,613,3.78395%
1,591,2,609,3.75926%
1,585,4,600,3.7037%
1,576,11,596,3.67901%
1,576,7,591,3.64815%
1,597,12,569,3.51235%
1,578,3,506,3.12346%
1,576,1,495,3.05556%
1,565,1,457,2.82099%
1,569,12,431,2.66049%
1,578,6,411,2.53704%
1,30,13,405,2.5%
1,565,14,400,2.46914%
1,570,2,384,2.37037%
1,303,11,383,2.3642%
1,597,13,369,2.27778%
1,455,13,360,2.22222%
1,585,9,336,2.07407%
1,576,8,317,1.95679%
1,276,12,305,1.88272%
1,121,13,299,1.84568%
1,566,8,297,1.83333%
1,355,14,284,1.75309%
1,579,1,282,1.74074%
1,334,3,277,1.70988%
1,74,14,275,1.69753%
1,69,4,274,1.69136%
1,190,10,272,1.67901%
1,577,9,271,1.67284%
1,595,13,263,1.62346%
1,566,5,261,1.61111%
1,576,2,256,1.58025%
1,584,4,236,1.45679%
1,576,9,217,1.33951%
1,575,7,205,1.26543%
1,584,1,203,1.25309%
1,565,9,202,1.24691%
1,1,6,199,1.2284%
1,137,13,194,1.19753%
1,591,10,178,1.09877%
1,595,14,176,1.08642%
1,604,8,175,1.08025%
1,191,15,161,0.993827%
1,446,3,144,0.888889%
1,135,14,141,0.87037%
1,67,3,134,0.82716%
1,522,6,125,0.771605%
1,446,6,121,0.746914%
1,570,4,113,0.697531%
1,76,13,110,0.679012%
1,127,15,109,0.672839%
1,222,10,106,0.654321%
1,250,12,99,0.611111%
1,585,6,92,0.567901%
1,603,8,89,0.549383%
1,276,5,88,0.54321%
1,473,6,87,0.537037%
1,604,9,85,0.524691%
1,145,14,84,0.518519%
1,604,13,83,0.512346%
1,109,6,82,0.506173%
1,166,9,81,0.5%
1,334,2,78,0.481481%
1,488,2,77,0.475309%
1,399,15,76,0.469136%
1,474,13,75,0.462963%
1,300,5,73,0.450617%
1,565,12,67,0.41358%
1,594,3,65,0.401235%
1,591,6,64,0.395062%
1,578,7,60,0.37037%
1,501,9,58,0.358025%
1,100,1,55,0.339506%
1,397,10,54,0.333333%
1,602,10,53,0.32716%
1,555,4,52,0.320988%
1,534,15,51,0.314815%
1,598,12,50,0.308642%
1,600,15,49,0.302469%
1,463,10,48,0.296296%
1,466,11,47,0.290123%
1,477,9,46,0.283951%
1,428,11,45,0.277778%
1,187,8,42,0.259259%
1,569,10,33,0.203704%
1,431,14,31,0.191358%
1,517,9,30,0.185185%
1,581,14,29,0.179012%
1,561,11,28,0.17284%
1,573,10,27,0.166667%
1,603,9,26,0.160494%
1,602,8,25,0.154321%
1,598,14,24,0.148148%
1,557,5,23,0.141975%
1,602,9,22,0.135802%
1,553,11,21,0.12963%
1,553,8,20,0.123457%
1,489,12,19,0.117284%
1,349,2,18,0.111111%
1,233,11,17,0.104938%
1,565,13,15,0.0925926%
1,152,10,14,0.0864198%
1,539,12,13,0.0802469%
1,351,8,12,0.0740741%
1,430,3,11,0.0679012%
1,554,14,10,0.0617284%
1,569,7,9,0.0555556%
1,581,11,8,0.0493827%
1,598,5,7,0.0432099%
1,597,4,6,0.037037%
1,600,12,5,0.0308642%
1,599,1,4,0.0246914%
1,601,9,3,0.0185185%
1,598,11,2,0.0123457%
1,604,3,1,0.00617284%
